,date,flight no,booster version,payload mass,orbit,launch site,landing type,outcome,flights,gridfins,reused,legs,landing pad,block,reused count,serial,longitude,latitude,cost per launch,customers,manufacterers
0,2006-03-24T22:30:00.000Z,1,Falcon 1,20.0,LEO,Kwajalein Atoll Omelek Island,,,1,False,False,False,,,0,Merlin1A,167.7431292,9.0477206,6700000,['DARPA'],['SSTL']
1,2007-03-21T01:10:00.000Z,2,Falcon 1,,LEO,Kwajalein Atoll Omelek Island,,,1,False,False,False,,,0,Merlin2A,167.7431292,9.0477206,6700000,['DARPA'],['SpaceX']
2,2008-08-03T03:34:00.000Z,3,Falcon 1,,LEO,Kwajalein Atoll Omelek Island,,,1,False,False,False,,,0,Merlin1C,167.7431292,9.0477206,6700000,['NASA'],['Space Dev']
3,2008-09-28T23:15:00.000Z,4,Falcon 1,165.0,LEO,Kwajalein Atoll Omelek Island,,,1,False,False,False,,,0,Merlin2C,167.7431292,9.0477206,6700000,['SpaceX'],['SpaceX']
4,2009-07-13T03:35:00.000Z,5,Falcon 1,200.0,LEO,Kwajalein Atoll Omelek Island,,,1,False,False,False,,,0,Merlin3C,167.7431292,9.0477206,6700000,['ATSB'],['Satrec']
5,2010-06-04T18:45:00.000Z,6,Falcon 9,,LEO,Cape Canaveral Space Force Station Space Launch Complex 40,,,1,False,False,False,,1.0,0,B0003,-80.577366,28.5618571,50000000,['SpaceX'],['SpaceX']
6,2010-12-08T15:43:00.000Z,7,Falcon 9,,LEO,Cape Canaveral Space Force Station Space Launch Complex 40,,,1,False,False,False,,1.0,0,B0004,-80.577366,28.5618571,50000000,['NASA(COTS)'],['SpaceX']
7,2012-05-22T07:44:00.000Z,8,Falcon 9,525.0,LEO,Cape Canaveral Space Force Station Space Launch Complex 40,,,1,False,False,False,,1.0,0,B0005,-80.577366,28.5618571,50000000,['NASA(COTS)'],['SpaceX']
8,2012-10-08T00:35:00.000Z,9,Falcon 9,400.0,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,,,1,False,False,False,,1.0,0,B0006,-80.577366,28.5618571,50000000,['NASA (CRS)'],['SpaceX']
9,2013-03-01T19:10:00.000Z,10,Falcon 9,677.0,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,,,1,False,False,False,,1.0,0,B0007,-80.577366,28.5618571,50000000,['NASA (CRS)'],['SpaceX']
10,2013-09-29T16:00:00.000Z,11,Falcon 9,500.0,PO,Vandenberg Space Force Base Space Launch Complex 4E,Ocean,False,1,False,False,False,,1.0,0,B1003,-120.610829,34.632093,50000000,['MDA'],['MDA']
